2016-06-05 11:29:17 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 11:29:23 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 11:29:29 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 11:36:35 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 12:47:33 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 12:49:07 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 12:51:25 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:00:06 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:18:54 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:19:03 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:19:14 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:19:23 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:20:38 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:20:57 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-05 13:22:51 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
2016-06-10 18:36:02 Debug: Notice (8): Undefined variable: appId in [D:\xampp\htdocs\myworkspace\lce\app\views\frontcoaches\facebook_share.php, line 4]
