2016-05-22 15:08:50 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\3Yq11782_2427a.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\views\frontevents\events.ctp, line 47]
2016-05-22 15:08:58 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\4image005_0cc07.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\controllers\frontevents_controller.php, line 48]
2016-05-22 15:10:30 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\3Yq11782_2427a.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\views\home\index.ctp, line 118]
2016-05-22 15:19:00 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\3Yq11782_2427a.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\views\frontevents\events.ctp, line 47]
2016-05-22 15:20:42 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\4image005_0cc07.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\controllers\frontevents_controller.php, line 48]
2016-05-31 15:22:00 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\0404it_sema_07_z_252fd.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\views\home\index.ctp, line 118]
2016-05-31 15:23:25 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\0404it_sema_07_z_252fd.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\views\home\index.ctp, line 118]
2016-05-31 15:23:28 Warning: Warning (2): getimagesize(D:\xampp\htdocs\myworkspace\lce\app\webroot\img\upload\0404it_sema_07_z_252fd.jpg) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [D:\xampp\htdocs\myworkspace\lce\app\views\home\index.ctp, line 118]
2016-06-22 11:58:20 Warning: Warning (2): unlink(/home2/elsayed/lce/app/tmp/cache/models/cake_model_default_gals) [<a href='http://php.net/function.unlink'>function.unlink</a>]: No such file or directory in [/home2/elsayed/lce/cake/libs/file.php, line 296]
2016-06-22 11:58:20 Warning: Warning (2): unlink(/home2/elsayed/lce/app/tmp/cache/models/cake_model_default_gals) [<a href='http://php.net/function.unlink'>function.unlink</a>]: No such file or directory in [/home2/elsayed/lce/cake/libs/file.php, line 296]
2016-07-10 10:36:59 Warning: Warning (2): Invalid argument supplied for foreach() in [/home2/elsayed/lce/app/controllers/frontevents_controller.php, line 631]
2016-07-10 10:36:59 Warning: Warning (2): Invalid argument supplied for foreach() in [/home2/elsayed/lce/app/controllers/frontevents_controller.php, line 631]
